split_fraction,train_rows,test_rows,test_start,test_end,block_mode,block_days,temporal_blocks,requested_resamples,seed,code,country,task,model,metric,primary_metric,point_estimate,bootstrap_mean,bootstrap_median,ci_low,ci_high,confidence,valid_resamples,positive_ci,excludes_zero,direction,p_two_sided
0.8,30339,7585,2025-06-18T12:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,4118848249,dk,Denmark,regression,GradientBoosting,mae_reduction,False,17.306400300161563,17.311431880228888,17.327010604928113,15.344552191914822,19.147067345315126,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,156492851,es,Spain,regression,GradientBoosting,mae_reduction,False,4.481382177569958,4.473342764401339,4.480887457946219,3.411320062454437,5.429259571086017,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30305,7577,2025-06-18T00:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1120195802,fr,France,regression,GradientBoosting,mae_reduction,False,2.391075437000638,2.3923316464161575,2.384554721209869,1.7498808394480725,3.073344902531949,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30346,7587,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,2299880843,gr,Greece,regression,GradientBoosting,mae_reduction,False,5.711356241213098,5.704801901314859,5.714314063225161,4.281709195931362,7.1414549898053306,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,2754115982,hr,Croatia,regression,GradientBoosting,mae_reduction,False,4.300852635944967,4.298587209458327,4.31801356925318,3.339479795750064,5.236701562289678,0.95,2000,True,True,positive,0.0009995002498750624
0.8,28868,7217,2025-05-18T22:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,48,2000,2169394076,ie,Ireland,regression,GradientBoosting,mae_reduction,False,14.48500299251743,14.47787309403329,14.491943193025904,13.221704525308082,15.674597066024544,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,826932186,lt,Lithuania,regression,GradientBoosting,mae_reduction,False,7.0759338929935325,7.059800048772576,7.020079016358567,5.400123122301782,8.852843066485672,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,3593180117,lv,Latvia,regression,GradientBoosting,mae_reduction,False,0.7783197081803799,0.7902501329466411,0.7793667115047942,-0.33956299335986057,1.9838882168097571,0.95,2000,False,False,overlaps_zero,0.19490254872563717
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,899312267,nl,Netherlands,regression,GradientBoosting,mae_reduction,False,7.88933162989961,7.90034248417406,7.894304420060992,7.01959694169432,8.744730061842867,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30354,7589,2025-06-18T18:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,46,2000,3678831450,pt,Portugal,regression,GradientBoosting,mae_reduction,False,3.090835171967216,3.101857640932627,3.1079126713839154,1.7442850000801127,4.354239999753327,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,237117681,ro,Romania,regression,GradientBoosting,mae_reduction,False,1.8317289783278552,1.8385401541543316,1.835951115903975,1.1331963968623855,2.5509718402546375,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T15:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,910377674,rs,Serbia,regression,GradientBoosting,mae_reduction,False,0.36468461011234155,0.36212197952599895,0.3593001931100881,0.07076730977479567,0.6919061398045626,0.95,2000,True,True,positive,0.014992503748125937
0.8,30281,7571,2025-06-19T04:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3546271242,si,Slovenia,regression,GradientBoosting,mae_reduction,False,-0.17489705039432302,-0.1662411424310208,-0.17212286969877422,-0.7581558364291668,0.39399700338119553,0.95,2000,False,False,overlaps_zero,0.5547226386806596
0.8,30308,7578,2025-06-18T22:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3601063077,sk,Slovakia,regression,GradientBoosting,mae_reduction,False,0.04859554978469749,0.045425772610841776,0.04650230783772491,-0.24040901789060737,0.34865774362841256,0.95,2000,False,False,overlaps_zero,0.7596201899050474
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,485424676,at,Austria,regression,GradientBoosting,r2_gain,True,0.2524050715367998,0.25629664539575925,0.2547240732577534,0.20986779246179701,0.31325277851329714,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1557233849,be,Belgium,regression,GradientBoosting,r2_gain,True,0.46765879774240715,0.4705187864728934,0.470638469775739,0.385780966703614,0.5569748190948058,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7588,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,1880112050,bg,Bulgaria,regression,GradientBoosting,r2_gain,True,0.03461885916982821,0.03484184736723939,0.03486397940402847,0.009665217080700275,0.05875344319886926,0.95,2000,True,True,positive,0.013993003498250875
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,147067191,cz,Czech Republic,regression,GradientBoosting,r2_gain,True,0.16385057671834868,0.16476579949398648,0.16518650597476686,0.13092454939737333,0.19827417229708805,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3581592072,de,Germany,regression,GradientBoosting,r2_gain,True,0.5189686742948634,0.5209238938602009,0.5204317086400652,0.4437121794771524,0.603708828295162,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30339,7585,2025-06-18T12:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,4118848249,dk,Denmark,regression,GradientBoosting,r2_gain,True,0.828293599457488,0.8320570086916519,0.8322498672935046,0.7570991177844467,0.911641782541609,0.95,2000,True,True,positive,0.0009995002498750624
